dbn,school_name,boro,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,Location 1
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,9,12,10002,326,,"English Literature and Composition, Microeconomics, Spanish Language and Culture, United States History",,8:32 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M308,Lower Manhattan Arts Academy,Manhattan,9,12,10002,362,,"Calculus AB, Physics B","English Language and Composition, Spanish Language and Culture",8:30 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,9,12,10004,412,All-Girls School,"Chemistry, Spanish Language and Culture, United States History",Chemistry,8:35 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)"
02M374,Gramercy Arts High School,Manhattan,9,12,10003,548,,,,8:15 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,3,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M376,NYC iSchool,Manhattan,9,12,10013,433,,"Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, United States Government and Politics, United States History",,9:00 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)"
02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,9,12,10011,426,,Statistics,,8:30 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
02M393,BUSINESS OF SPORTS SCHOOL,Manhattan,9,12,10019,420,CTE School,"English Language and Composition, Environmental Science, United States Government and Politics",,8:50 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,9,12,10003,358,,"Biology, Calculus BC, Chinese Language and Culture, English Literature and Composition, Environmental Science, United States History",,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M400,High School for Environmental Studies,Manhattan,9,12,10019,1312,,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Environmental Science, Macroeconomics, Physics B, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics, United States History, World History","Human Geography, Microeconomics",8:15 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"444 West 56 Street
New York, NY 10019
(40.76776243900048, -73.98751121399965)"
02M407,Institute for Collaborative Education,Manhattan,6,12,10003,468,Consortium School,,,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)"
02M408,Professional Performing Arts High School,Manhattan,6,12,10036,512,,"Biology, English Literature and Composition",,8:15 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,4,"328 West 48 Street
New York, NY 10036
(40.761432699000466, -73.98802369799967)"
02M411,Baruch College Campus High School,Manhattan,9,12,10010,439,,"Biology, Calculus AB, Comparative Government and Politics, English Literature and Composition, United States History",,8:20 AM,2:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"55 East 25 Street
New York, NY 10010
(40.74404724800047, -73.99147929899965)"
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,9,12,10011,599,,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Psychology, Spanish Language and Culture, Statistics, United States Government and Politics, United States History",,8:00 AM,2:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)"
02M413,School of the Future High School,Manhattan,6,12,10010,715,Consortium School,"English Language and Composition, Environmental Science, United States History",,8:35 AM,3:10 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"127 East 22 Street
New York, NY 10010
(40.73894888600046, -73.98540517199967)"
02M414,N.Y.C. Museum School,Manhattan,9,12,10011,462,,"Biology, English Literature and Composition, United States History",,8:15 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)"
02M416,Eleanor Roosevelt High School,Manhattan,9,12,10021,531,,"Art History, Biology, Calculus AB, Chemistry, Comparative Government and Politics, English Literature and Composition, European History, Macroeconomics, Music Theory, Spanish Literature and Culture, Statistics, Studio Art: 3-D Design, United States History, World History",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"411 East 76 Street
New York, NY 10021
(40.77011647100045, -73.95337910099965)"
02M418,Millennium High School,Manhattan,9,12,10004,619,,"Calculus AB, English Language and Composition, English Literature and Composition, United States History",,8:30 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"75 Broad Street
New York, NY 10004
(40.704920366000465, -74.01151402299968)"
02M419,Landmark High School,Manhattan,9,12,10011,396,Consortium School,,,8:45 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
02M420,High School for Health Professions and Human Services,Manhattan,9,12,10003,1706,,"Biology, Calculus AB, Chemistry, Comparative Government and Politics, English Literature and Composition, Physics B, Spanish Language and Culture, United States History, World History",,9:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)"
02M422,Quest to Learn,Manhattan,6,12,10011,478,,"Biology, Calculus AB, English Literature and Composition",,9:00 AM,3:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
02M425,Leadership and Public Service High School,Manhattan,9,12,10006,685,,"Art History, Calculus AB, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Spanish Literature and Culture, United States History, World History","Biology, Chemistry, Environmental Science, European History, Macroeconomics, Microeconomics, Physics B",8:30 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"90 Trinity Place
New York, NY 10006
(40.70914653900047, -74.01207662699966)"
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,9,12,10016,312,,,,9:00 AM,3:40 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Transitional Bilingual Program: Spanish,Functionally Accessible,1,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
02M432,Murray Hill Academy,Manhattan,9,12,10016,305,,,"Biology, English Language and Composition, Environmental Science, United States History, World History",8:00 AM,2:58 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
02M437,Hudson High School of Learning Technologies,Manhattan,9,12,10011,462,,,"Biology, Calculus AB, English Literature and Composition, United States History",8:45 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
02M438,International High School at Union Square,Manhattan,9,12,10003,339,International School,,,8:45 AM,3:05 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M439,Manhattan Village Academy,Manhattan,9,12,10010,414,,"Biology, Calculus AB, English Literature and Composition, Psychology, United States History",,8:00 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"43 West 22 Street
New York, NY 10010
(40.7414946990005, -73.99144505299967)"
02M449,Vanguard High School,Manhattan,9,12,10065,469,Consortium School,Calculus AB,,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
02M459,Manhattan International High School,Manhattan,9,12,10065,331,"Consortium, International School","Calculus AB, United States History",,8:45 AM,3:05 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
02M475,Stuyvesant High School,Manhattan,9,12,10282,3292,Specialized School,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Italian Language and Culture, Japanese Language and Culture, Macroeconomics, Microeconomics, Music Theory, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Psychology, Spanish Language and Culture, Spanish Literature and Culture, Statistics, United States Government and Politics, United States History, World History",,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"345 Chambers Street
New York, NY 10282
(40.71774641500048, -74.01404904299966)"
02M489,High School of Economics and Finance,Manhattan,9,12,10006,767,,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, United States History",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"100 Trinity Place
New York, NY 10006
(40.70921962500046, -74.01202591499964)"
02M500,Unity Center for Urban Technologies,Manhattan,9,12,10016,255,,,,8:15 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
02M507,Urban Assembly Gateway School for Technology,Manhattan,9,12,10019,367,CTE School,"Art History, Calculus AB, English Language and Composition, Physics B, Spanish Language and Culture, Studio Art: 3-D Design, United States History",,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
02M519,Talent Unlimited High School,Manhattan,9,12,10065,530,,"Biology, Chemistry, English Literature and Composition, United States History",Biology,8:10 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,5,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
02M520,Murry Bergtraum High School for Business Careers,Manhattan,9,12,10038,1466,,"Art History, Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language and Culture, United States History",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL; Transitional Bilingual Program: Chinese, Spanish",Functionally Accessible,2,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
02M529,Jacqueline Kennedy Onassis High School,Manhattan,9,12,10036,709,,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Literature and Culture, United States History, World History",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"120 West 46 Street
New York, NY 10036
(40.75775738600049, -73.98318779299967)"
02M531,Repertory Company High School for Theatre Arts,Manhattan,9,12,10036,236,,"Biology, Calculus AB, English Literature and Composition, Music Theory, World History",Spanish Language and Culture,8:15 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"123 West 43 Street
New York, NY 10036
(40.7559425820005, -73.98456770199965)"
02M533,Union Square Academy for Health Sciences,Manhattan,9,12,10003,223,CTE School,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Physics B, United States History",,8:00 AM,3:49 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M534,Harvest Collegiate High School,Manhattan,9,12,10011,232,,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, Statistics",,8:20 AM,3:17 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"34 West 14 Street
New York, NY 10011
(40.73676482600047, -73.99551113299964)"
02M542,Manhattan Bridges High School,Manhattan,9,12,10019,552,,"Calculus AB, English Language and Composition, Macroeconomics, Spanish Language and Culture, Spanish Literature and Culture, Statistics",,8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,Functionally Accessible,4,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M543,New Design High School,Manhattan,9,12,10002,439,,"English Literature and Composition, United States History",,8:40 AM,2:56 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M545,High School for Dual Language and Asian Studies,Manhattan,9,12,10002,410,,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, Human Geography, Statistics, United States History",,8:00 AM,3:35 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Dual Language: Chinese; Transitional Bilingual Program: Chinese,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M546,Academy for Software Engineering,Manhattan,9,12,10003,241,CTE School,"Biology, Calculus AB, Chemistry, Computer Science AB, United States Government and Politics",,8:45 AM,3:36 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M551,Urban Assembly New York Harbor School,Manhattan,9,12,10004,439,CTE School,"Calculus AB, English Literature and Composition, Environmental Science",,8:15 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"550 Wheeler Avenue
Manhattan, NY 10004
(40.690787629000454, -74.01975732599965)"
02M580,Richard R. Green High School of Teaching,Manhattan,9,12,10004,593,,"English Language and Composition, English Literature and Composition, United States Government and Politics, United States History",,8:30 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)"
02M600,The High School of Fashion Industries,Manhattan,9,12,10011,1732,CTE School,"Biology, Calculus AB, English Literature and Composition, Spanish Language and Culture, United States History",,8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"225 West 24 Street
New York, NY 10011
(40.74511157100045, -73.99590641999964)"
02M605,Humanities Preparatory Academy,Manhattan,9,12,10011,210,Consortium School,,,9:00 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
02M615,Chelsea Career and Technical Education High School,Manhattan,9,12,10013,443,CTE School,"Calculus AB, English Literature and Composition, Physics C: Mechanics, Spanish Language and Culture, United States Government and Politics, United States History",,8:30 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)"
02M630,Art and Design High School,Manhattan,9,12,10019,1438,CTE School,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language and Culture, Studio Art: 2-D Design, Studio Art: Drawing, United States History, World History",,8:30 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,3,"231-249 East 56 Street
New York, NY 10019
(40.76540154100047, -73.98176824599966)"
02M655,Life Sciences Secondary School,Manhattan,6,12,10128,771,,"Biology, Calculus AB, English Language and Composition, Environmental Science, Spanish Language and Culture, World History",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,"320 East 96 Street
New York, NY 10128
(40.78364426000047, -73.94574177699963)"
03M299,"High School for Arts, Imagination and Inquiry",Manhattan,9,12,10023,435,,United States History,,8:45 AM,3:26 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M307,"Urban Assembly School for Media Studies, The",Manhattan,9,12,10023,387,,"Calculus AB, Chemistry, English Literature and Composition, United States History, World History",,9:00 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M402,The Urban Assembly School for Green Careers,Manhattan,9,12,10024,395,CTE School,English Literature and Composition,,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
03M403,The Global Learning Collaborative,Manhattan,9,12,10024,480,,"Biology, Calculus AB, English Literature and Composition, Spanish Literature and Culture",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,6,12,10026,531,,"Calculus AB, English Literature and Composition, Environmental Science, Spanish Literature and Culture, Statistics, United States History, World History",,8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,6,"215 West 114 Street
New York, NY 10026
(40.802174581000486, -73.95400882799964)"
03M417,FRANK McCOURT HIGH SCHOOL,Manhattan,9,12,10024,373,,,,8:40 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
03M479,Beacon High School,Manhattan,9,12,10023,1276,Consortium School,"Biology, Calculus AB, Chemistry, Physics B, Spanish Language and Culture",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"227-243 West 61St Street
New York, NY 10023
(40.772158119000494, -73.98779653499963)"
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,9,12,10023,2730,Specialized School,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Italian Language and Culture, Japanese Language and Culture, Music Theory, Physics B, Psychology, Spanish Language and Culture, Statistics, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics, United States History, World History",,8:00 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,6,"100 Amsterdam Avenue
New York, NY 10023
(40.773670507000475, -73.98526855799963)"
03M492,"High School for Law, Advocacy and Community Justice",Manhattan,9,12,10023,531,,"English Literature and Composition, Environmental Science, Psychology, Spanish Language and Culture, United States History, World History",,8:00 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M494,High School of Arts and Technology,Manhattan,9,12,10023,588,,"Art History, Biology, Psychology, Studio Art: Drawing, United States History",,8:00 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M541,Manhattan / Hunter Science High School,Manhattan,9,12,10023,460,,,,8:00 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M859,Special Music School,Manhattan,K,11,10023,191,,Music Theory,,8:00 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
03M860,Frederick Douglass Academy II Secondary School,Manhattan,6,12,10026,429,,"Calculus AB, English Literature and Composition, Environmental Science, United States History",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,"215 West 114 Street
New York, NY 10026
(40.802174581000486, -73.95400882799964)"
04M372,ESPERANZA PREPARATORY ACADEMY,Manhattan,6,12,10029,424,,,,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Dual Language: Spanish,Functionally Accessible,1,"240 East 109 Street
New York, NY 10029
(40.793072777000475, -73.94235655799963)"
